Taxonomy ID,Scientific Name,Type,Rank,Source
714,Aggregatibacter actinomycetemcomitans,Bacteria,Species,HSE (UK)
724,Haemophilus spp,Bacteria,Genus,HSE (UK)
727,Haemophilus influenzae,Bacteria,Species,"HSE (UK), WHO"
730,Haemophilus ducreyi,Bacteria,Species,HSE (UK)
745,Pasteurella spp,Bacteria,Genus,HSE (UK)
747,Pasteurella multocida,Bacteria,Species,HSE (UK)
773,Bartonella spp,Bacteria,Genus,HSE (UK)
774,Bartonella bacilliformis,Bacteria,Species,HSE (UK)
777,Coxiella burnetii,Bacteria,Species,HSE (UK)
779,Ehrlichia ruminantium,Bacteria,Species,SAPO
780,Rickettsia spp,Bacteria,Genus,HSE (UK)
781,Rickettsia conorii,Bacteria,Species,HSE (UK)
782,Rickettsia prowazekii,Bacteria,Species,HSE (UK)
783,Rickettsia rickettsii,Bacteria,Species,HSE (UK)
784,Orientia tsutsugamushi,Bacteria,Species,HSE (UK)
785,Rickettsia typhi,Bacteria,Species,HSE (UK)
786,Rickettsia akari,Bacteria,Species,HSE (UK)
788,Rickettsia canadensis,Bacteria,Species,HSE (UK)
803,Bartonella quintana,Bacteria,Species,HSE (UK)
813,Chlamydia trachomatis,Bacteria,Species,HSE (UK)
816,Bacteroides spp,Bacteria,Genus,HSE (UK)
817,Bacteroides fragilis,Bacteria,Species,HSE (UK)
836,Porphyromonas spp,Bacteria,Genus,HSE (UK)
838,Prevotella spp,Bacteria,Genus,HSE (UK)
848,Fusobacterium spp,Bacteria,Genus,HSE (UK)
859,Fusobacterium necrophorum,Bacteria,Species,HSE (UK)
943,Ehrlichia spp,Bacteria,Genus,HSE (UK)
951,Neorickettsia sennetsu,Bacteria,Species,HSE (UK)
1257,Peptostreptococcus spp,Bacteria,Genus,HSE (UK)
1261,Peptostreptococcus anaerobius,Bacteria,Species,HSE (UK)
1280,Staphylococcus aureus,Bacteria,Species,"HSE (UK), NIAID, WHO"
1301,Streptococcus spp,Bacteria,Genus,HSE (UK)
1307,Streptococcus suis,Bacteria,Species,HSE (UK)
1311,Streptococcus agalactiae,Bacteria,Species,HSE (UK)
1313,Streptococcus pneumoniae,Bacteria,Species,"HSE (UK), NIAID, WHO"
1314,Streptococcus pyogenes,Bacteria,Species,HSE (UK)
1319,Streptococcus sp. 'group B',Bacteria,Species,WHO
1350,Enterococcus,Bacteria,Genus,NIAID
1350,Enterococcus spp,Bacteria,Genus,HSE (UK)
1352,Enterococcus faecium,Bacteria,Species,"NIAID, WHO"
1392,Bacillus anthracis,Bacteria,Species,"HSE (UK), NIAID, SAPO"
1396,Bacillus cereus,Bacteria,Species,HSE (UK)
1485,Clostridium spp,Bacteria,Genus,HSE (UK)
1491,Clostridium botulinum,Bacteria,Species,"HSE (UK), NIAID"
1496,Clostridioides difficile,Bacteria,Species,NIAID
1502,Clostridium perfringens,Bacteria,Species,HSE (UK)
1513,Clostridium tetani,Bacteria,Species,HSE (UK)
1638,Listeria ivanovii,Bacteria,Species,HSE (UK)
1639,Listeria monocytogenes,Bacteria,Species,HSE (UK)
1648,Erysipelothrix rhusiopathiae,Bacteria,Species,HSE (UK)
1654,Actinomyces spp,Bacteria,Genus,HSE (UK)
1659,Actinomyces israelii,Bacteria,Species,HSE (UK)
1661,Trueperella pyogenes,Bacteria,Species,HSE (UK)
1716,Corynebacterium spp,Bacteria,Genus,HSE (UK)
1717,Corynebacterium diphtheriae,Bacteria,Species,HSE (UK)
1719,Corynebacterium pseudotuberculosis,Bacteria,Species,HSE (UK)
1763,Mycobacterium,Bacteria,Genus,NIAID
1764,Mycobacterium avium,Bacteria,Species,HSE (UK)
1765,Mycobacterium tuberculosis variant bovis,Bacteria,Species,HSE (UK)
1766,Mycolicibacterium fortuitum,Bacteria,Species,HSE (UK)
1767,Mycobacterium intracellulare,Bacteria,Species,HSE (UK)
1768,Mycobacterium kansasii,Bacteria,Species,HSE (UK)
1769,Mycobacterium leprae,Bacteria,Species,HSE (UK)
1770,Mycobacterium paratuberculosis,Bacteria,Species,HSE (UK)
1773,Mycobacterium tuberculosis,Bacteria,Species,"HSE (UK), NIAID, WHO"
1774,Mycobacteroides chelonae,Bacteria,Species,HSE (UK)
1780,Mycobacterium malmoense,Bacteria,Species,HSE (UK)
1781,Mycobacterium marinum,Bacteria,Species,HSE (UK)
1783,Mycobacterium scrofulaceum,Bacteria,Species,HSE (UK)
1784,Mycobacterium simiae,Bacteria,Species,HSE (UK)
1787,Mycobacterium szulgai,Bacteria,Species,HSE (UK)
1789,Mycobacterium xenopi,Bacteria,Species,HSE (UK)
1806,Mycobacterium tuberculosis variant microti,Bacteria,Species,HSE (UK)
1809,Mycobacterium ulcerans,Bacteria,Species,HSE (UK)
1823,Nocardia otitidiscaviarum,Bacteria,Species,HSE (UK)
1824,Nocardia asteroides,Bacteria,Species,HSE (UK)
1993,Actinomadura madurae,Bacteria,Species,HSE (UK)
2098,Mycoplasma hominis,Bacteria,Species,HSE (UK)
2104,Mycoplasma pneumoniae,Bacteria,Species,HSE (UK)
2110,Mycoplasmopsis agalactiae,Bacteria,Species,SAPO
2130,Ureaplasma urealyticum,Bacteria,Species,HSE (UK)
2702,Gardnerella vaginalis,Bacteria,Species,HSE (UK)
2718,Cardiobacterium hominis,Bacteria,Species,HSE (UK)
13373,Burkholderia mallei,Bacteria,Species,"HSE (UK), SAPO"
28197,Arcobacter butzleri,Bacteria,Species,HSE (UK)
28264,Arcanobacterium haemolyticum,Bacteria,Species,HSE (UK)
28450,Burkholderia pseudomallei,Bacteria,Species,HSE (UK)
29459,Brucella melitensis,Bacteria,Species,"HSE (UK), SAPO"
29461,Brucella suis,Bacteria,Species,"HSE (UK), SAPO"
29521,Brachyspira spp,Bacteria,Genus,HSE (UK)
32008,Burkholderia,Bacteria,Genus,NIAID
33894,Mycobacterium tuberculosis variant africanum,Bacteria,Species,HSE (UK)
33991,Rickettsia montanensis,Bacteria,Species,HSE (UK)
34105,Streptobacillus moniliformis,Bacteria,Species,HSE (UK)
36470,Streptococcus sp. 'group A',Bacteria,Species,WHO
36855,Brucella canis,Bacteria,Species,HSE (UK)
37326,Nocardia brasiliensis,Bacteria,Species,HSE (UK)
37329,Nocardia farcinica,Bacteria,Species,HSE (UK)
37330,Nocardia nova,Bacteria,Species,HSE (UK)
38301,Corynebacterium minutissimum,Bacteria,Species,HSE (UK)
40477,Mycoplasma mycoides subsp. capri,Bacteria,Subspecies,SAPO
40480,Mycoplasma capricolum subsp. Capripneumoniae,Bacteria,Subspecies,SAPO
40834,Borrelia duttonii,Bacteria,Species,HSE (UK)
43767,Prescottella equi,Bacteria,Species,HSE (UK)
44100,Mycoplasma mycoides subsp. capri LC,Bacteria,No rank,SAPO
44101,Mycoplasma mycoides subsp. mycoides SC,Bacteria,Strain,SAPO
44449,Borrelia recurrentis,Bacteria,Species,HSE (UK)
52769,Actinomyces gerencseriae,Bacteria,Species,HSE (UK)
54388,Salmonella enterica subsp. enterica serovar Paratyphi A,Bacteria,Species,HSE (UK)
55603,Mycoplasma caviae,Bacteria,Species,HSE (UK)
57045,Salmonella enterica subsp. enterica serovar Paratyphi B,Bacteria,Species,HSE (UK)
57046,Salmonella enterica subsp. enterica serovar Paratyphi C,Bacteria,Species,HSE (UK)
59203,Salmonella enterica arizonae,Bacteria,Species,HSE (UK)
65058,Corynebacterium ulcerans,Bacteria,Species,HSE (UK)
83554,Chlamydia psittaci,Bacteria,Species,HSE (UK)
83558,Chlamydia pneumoniae,Bacteria,Species,HSE (UK)
90370,Salmonella enterica subsp. enterica serovar Typhi,Bacteria,No rank,NIAID
90370,Salmonella enterica subsp. enterica serovar Typhi,Bacteria,Species,HSE (UK)
90371,Salmonella enterica serovar typhimurium,Bacteria,Species,HSE (UK)
91347,Enterobacterales,Bacteria,Order,NIAID
102862,Proteus penneri,Bacteria,Species,HSE (UK)
111805,Actinomadura pelletieri,Bacteria,Species,HSE (UK)
119602,Streptococcus dysgalactiae subsp. equisimilis,Bacteria,Species,HSE (UK)
126385,Providencia alcalifaciens,Bacteria,Species,HSE (UK)
134821,Ureaplasma parvum,Bacteria,Species,HSE (UK)
149539,Salmonella enterica serovar enteritidis,Bacteria,Species,HSE (UK)
